verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
Ecran central tout noir.,##,"Contr“le multimédia, faire reset batterie",Ecran central tout noir.,##,"Contr“le multimédia, faire reset batterie","Ecran central tout noir. ##. Contr“le multimédia, faire reset batterie",black screen
##,##,BLUETOOTH SE DECONNECTE TOUT LE TEMPS OU ECRAN RESTE NOIR. CTRL CONFORMITE DU,##,##,BLUETOOTH SE DECONNECTE TOUT LE TEMPS OU ECRAN RESTE NOIR. CTRL CONFORMITE DU,##. ##. BLUETOOTH SE DECONNECTE TOUT LE TEMPS OU ECRAN RESTE NOIR. CTRL CONFORMITE DU,bluetooth
Ecran noir,##,Ecran noir,Ecran noir,##,Ecran noir,Ecran noir. ##. Ecran noir,black screen
##,##,Le profil conducteur et les réglages changent tout seul; brancher clip; pas de mise à jour disponible;,##,##,Le profil conducteur et les réglages changent tout seul; brancher clip; pas de mise à jour disponible;,##. ##. Le profil conducteur et les réglages changent tout seul; brancher clip; pas de mise à jour disponible;,settings issue
##,##,NAVIGATIE DOET RARE DINGEN/GEEFT VERKEERDE LOCATIES AAN EN RARE ROUTES,##,##,LA NAVIGATION FAIT DES CHOSES ÉTRANGES MONTRE DE MAUVAIS EMPLACEMENTS ET DES ITINÉRAIRES ÉTRANGÈRES,##. ##. LA NAVIGATION FAIT DES CHOSES ÉTRANGES MONTRE DE MAUVAIS EMPLACEMENTS ET DES ITINÉRAIRES ÉTRANGÈRES,navigation issue
##,##,FOUT KM AANDUIDING,##,##,ERREUR AFFICHAGE KM,##. ##. ERREUR AFFICHAGE KM,navigation issue
##,##,CONSTANTE MELDING VERMINDER SNELHEID  EN UPDATE SYSTEEM,##,##,AVIS CONSTANT RÉDUIRE LA VITESSE ET MISE À JOUR DU SYSTÈME,##. ##. AVIS CONSTANT RÉDUIRE LA VITESSE ET MISE À JOUR DU SYSTÈME,speed reading function issue
MEDIASCHERM BLIJFT OP ZWART BEELD STAAN,DIAGN STELLEN/SYSTEEM SOFTW UPDATE UITGEVOERD,##,L'ÉCRAN MÉDIA RESTE NOIR,MISE A JOUR DU LOGICIEL DIAGN SETTING SYSTEM EFFECTUEE,##,L'ÉCRAN MÉDIA RESTE NOIR. MISE A JOUR DU LOGICIEL DIAGN SETTING SYSTEM EFFECTUEE. ##,black screen
KAN ALLEEN GESPREK VOEREN VIA GELUID EIGEN TELEFOON,"GELUID TELEFOON GESPREK KAN ALLEEN VIA EIGEN TELEFOON, NIEUWE SOFTWARE UPDATE",STAAT GELPAND VOOR BEGIN MEI VLG OPLOSSING 33381. IS NOG NIET BESCHIKBAAR.,PEUT UNIQUEMENT CONTACTER EN UTILISANT SON PROPRE TÉLÉPHONE,"L'APPEL TÉLÉPHONIQUE SONORE NE PEUT ÊTRE UTILISÉ QUE SUR VOTRE TÉLÉPHONE, NOUVELLE MISE À JOUR DU LOGICIEL",ÉTAT EN COURS POUR DÉBUT MAI VLG SOLUTION 33381. N'EST PAS ENCORE DISPONIBLE.,"PEUT UNIQUEMENT CONTACTER EN UTILISANT SON PROPRE TÉLÉPHONE. L'APPEL TÉLÉPHONIQUE SONORE NE PEUT ÊTRE UTILISÉ QUE SUR VOTRE TÉLÉPHONE, NOUVELLE MISE À JOUR DU LOGICIEL. ÉTAT EN COURS POUR DÉBUT MAI VLG SOLUTION 33381. N'EST PAS ENCORE DISPONIBLE.",sound issue
ZVOÔNIKI HRE¸ÔIJO,##,Okvara zvoènikov,PETIT-DÉJEUNER,##,Panne de haut-parleur,PETIT-DÉJEUNER. ##. Panne de haut-parleur,speaker issue
##,##,1-SH84VD,##,##,1-SH84VD,##. ##. 1-SH84VD,connectivity issue
##,##, 1-S3CWUL,##,##, 1-S3CWUL,##. ##. 1-S3CWUL,connectivity issue
SREDINSKI EKRAN SE NE PRI©GE,I202,KON.ELEKTR.IN¸TA.IN ZAMENJAVA SREDINSKEGA EKRANA,L'ÉCRAN CENTRAL NE S'ALLUME PAS,I202,KON.ELEKTR.IN¸TA.IN REMPLACEMENT DE L'ÉCRAN CENTRAL,L'ÉCRAN CENTRAL NE S'ALLUME PAS. I202. KON.ELEKTR.IN¸TA.IN REMPLACEMENT DE L'ÉCRAN CENTRAL,display issue
PB R-LINK / REPLICATION,Configuration système sous assistance Helpline.,"ctrl, config et essai suite dossier Helpline 4-04821133",RÉPLICATION PB R-LINK,Configuration système sous assistance Helpline.,"ctrl, config et essai suite dossier Helpline 4-04821133","RÉPLICATION PB R-LINK. Configuration système sous assistance Helpline. ctrl, config et essai suite dossier Helpline 4-04821133",replication issue
NAVIGATIESCHERM VALT UIT,R-LINK SOFTWARE GEUPDATE,##,L'ÉCRAN DE NAVIGATION S'ÉTEINT,LOGICIEL R-LINK MIS À JOUR,##,L'ÉCRAN DE NAVIGATION S'ÉTEINT. LOGICIEL R-LINK MIS À JOUR. ##,black screen
GPS NE FONCTIONNE PAS,anomalie interne antenne,opecod 8263 pour diag clip et controle isolation et continui té cabalage,GPS NE FONCTIONNE PAS,anomalie interne antenne,opecod 8263 pour diag clip et controle isolation et continui té cabalage,GPS NE FONCTIONNE PAS. anomalie interne antenne. opecod 8263 pour diag clip et controle isolation et continui té cabalage,antenna issue
TELEFOON KOPPELT NIET,SYSTEEM UPDATE,##,LE TÉLÉPHONE NE S'ASSOCIE PAS,MISE À JOUR DU SYSTÈME,##,LE TÉLÉPHONE NE S'ASSOCIE PAS. MISE À JOUR DU SYSTÈME. ##,bluetooth
##,##,LE CLIENT SE PLAINT DU FAIT QUE L HEURE AFFICHEE SUR RLINK EST DIFFERENTE DE L HEURE GPS.,##,##,LE CLIENT SE PLAINT DU FAIT QUE L HEURE AFFICHEE SUR RLINK EST DIFFERENTE DE L HEURE GPS.,##. ##. LE CLIENT SE PLAINT DU FAIT QUE L HEURE AFFICHEE SUR RLINK EST DIFFERENTE DE L HEURE GPS.,time issue
Display schwarz,Radio defekt,Radio defekt,Affichage noir,Défaut radio,Défaut radio,Affichage noir. Défaut radio. Défaut radio,radnav doesn't work
COYOTE WERKT NIET - ICOON BLIJFT GRIJS,diagnose / vervangen TCU,COYOTE WERKT NIET - ICOON BLIJFT GRIJS,COYOTE NE FONCTIONNE PAS - L'ICÔNE RESTE GRIS,remplacer diagnostic TCU,COYOTE NE FONCTIONNE PAS - L'ICÔNE RESTE GRIS,COYOTE NE FONCTIONNE PAS - L'ICÔNE RESTE GRIS. remplacer diagnostic TCU. COYOTE NE FONCTIONNE PAS - L'ICÔNE RESTE GRIS,connectivity issue
L'ECLAIRAGE HABITACLE DES PORTES SE COUPE EN ROULANT,Defaut non reproduit,Essai de fonctionnement + recherche de solution actis + cont role des lumiéres sur chaque couleurs // Defaut non reprodu,L'ECLAIRAGE HABITACLE DES PORTES SE COUPE EN ROULANT,Defaut non reproduit,Essai de fonctionnement + recherche de solution actis + cont role des lumiéres sur chaque couleurs  Defaut non reprodu,L'ECLAIRAGE HABITACLE DES PORTES SE COUPE EN ROULANT. Defaut non reproduit. Essai de fonctionnement + recherche de solution actis + cont role des lumiéres sur chaque couleurs Defaut non reprodu,wrong designation
ECRAN SE FIGE OU DEVIENT NOIR,Defaillance de l'autoradio,Essai de fonctionnement + passage valise + recherche de solu tion actis + numéro 1-RU056N + controles et testes selo,ECRAN SE FIGE OU DEVIENT NOIR,Défaillance de l'autoradio,Essai de fonctionnement + passage valise + recherche de solu tion actis + numéro 1-RU056N + controles et testes selo,ECRAN SE FIGE OU DEVIENT NOIR. Défaillance de l'autoradio. Essai de fonctionnement + passage valise + recherche de solu tion actis + numéro 1-RU056N + controles et testes selo,black screen
LE BLUETHOOT SE CONNECTE ET SE DECONNETE TT SEIUL,DYSFONCTIOPNNEMENT DE LA CONNEXION DU TELEPHONE AU VEHICULE,"Recherche de solution, passage clip, apllication solution n° 33381 ,configuration automatique, reset audio essai fin de",LE BLUETHOOT SE CONNECTE ET SE DECONNETE TT SEIUL,DYSFONCTIOPNNEMENT DE LA CONNEXION DU TELEPHONE AU VEHICULE,"Recherche de solution, passage clip, apllication solution n° 33381 ,configuration automatique, reset audio essai fin de","LE BLUETHOOT SE CONNECTE ET SE DECONNETE TT SEIUL. DYSFONCTIOPNNEMENT DE LA CONNEXION DU TELEPHONE AU VEHICULE. Recherche de solution, passage clip, apllication solution n° 33381 ,configuration automatique, reset audio essai fin de",bluetooth
##,##,1-SJZ2R5,##,##,1-SJZ2R5,##. ##. 1-SJZ2R5,loss of tactil function on screen
Scherm valt regelmatig uiten blijft zwart,controle software versie,"reset uitgevoerd, werkt momenteel goed","L'écran tombe régulièrement, reste noir",version du logiciel de contrôle,"réinitialisation effectuée, fonctionne actuellement correctement","L'écran tombe régulièrement, reste noir. version du logiciel de contrôle. réinitialisation effectuée, fonctionne actuellement correctement",black screen
Geluid telefoon onacceptabel,conform TM 5666 externe microfoon plaatsen,externe microfoon geeft goed geluid en oplossing,Son du téléphone inacceptable,conformément à TM 5666 placer un microphone externe,le microphone externe donne un bon son et une bonne solution,Son du téléphone inacceptable. conformément à TM 5666 placer un microphone externe. le microphone externe donne un bon son et une bonne solution,microphone issue
BLUETHOOT NON FUNZIONA,REPROGR AUTORADIO,BLUETOOTH NON FUNZIONA,BLUETHOOT NE FONCTIONNE PAS,REPROGR AUTORADIO,LE BLUETOOTH NE FONCTIONNE PAS,BLUETHOOT NE FONCTIONNE PAS. REPROGR AUTORADIO. LE BLUETOOTH NE FONCTIONNE PAS,bluetooth
BLUETOOTHVERBINDING WERKT NIET,GEDEELTELIJKE HERPGR UITGEVOERD,##,LA CONNEXION BLUETOOTH NE FONCTIONNE PAS,RÉCUPÉRATION PARTIELLE EFFECTUÉE,##,LA CONNEXION BLUETOOTH NE FONCTIONNE PAS. RÉCUPÉRATION PARTIELLE EFFECTUÉE. ##,bluetooth
KAN R-LINK FUNCTIES NIET BEDIENEN,SCHERM R-LINK LOOPT VAST,"HERPROGRAMMEREN R-LINK UITGEVOERD, NACONTROLE; KLACHT VERHOLPEN.",IMPOSSIBLE D'UTILISER LES FONCTIONS R-LINK,ÉCRAN R-LINK VERROUILLÉ,"REPROGRAMMATION R-LINK EFFECTUÉE, CONTRÔLE APRÈS ; PLAINTE RÉSOLUE.","IMPOSSIBLE D'UTILISER LES FONCTIONS R-LINK. ÉCRAN R-LINK VERROUILLÉ. REPROGRAMMATION R-LINK EFFECTUÉE, CONTRÔLE APRÈS ; PLAINTE RÉSOLUE.",black screen
NAVIGATIESCHERM NIET TE BEDIENEN IN KOUDE TOESTAND,##,SCHERM VAN R-LINK VERVANGEN WEGENS DEFECT,L'ÉCRAN DE NAVIGATION NE PEUT PAS ÊTRE UTILISÉ PAR FROID,##,ÉCRAN R-LINK REMPLACÉ EN RAISON D'UN DÉFAUT,L'ÉCRAN DE NAVIGATION NE PEUT PAS ÊTRE UTILISÉ PAR FROID. ##. ÉCRAN R-LINK REMPLACÉ EN RAISON D'UN DÉFAUT,black screen
##,REGELMATIG ZWART SCHERM,##,##,ÉCRAN NOIR RÉGULIER,##,##. ÉCRAN NOIR RÉGULIER. ##,black screen
MULTIMEDIASCHERM SCHAKELT NIET IN OF UIT,ZIE KIMNR 1-RQND9D VOOR GELEIDE DIAGNOSE CONTROLE R LINK SCHERM WERKT NIET,SCHERM WORDT NIET OPGESTART OOK BIJ HANDMATIG AANZETTEN GEEN FOUTEN BIJ IDENTIFICATIEE V.D.RADIO,L'ÉCRAN MULTIMÉDIA NE S'ALLUME OU NE S'ÉTEINT PAS,VOIR KIMNR 1-RQND9D POUR LA VÉRIFICATION DE DIAGNOSTIC GUIDÉ R L'ÉCRAN DE LIAISON NE FONCTIONNE PAS,L'ÉCRAN NE DÉMARRE PAS MÊME LORSQU'IL EST ALLUMÉ MANUELLEMENT AUCUNE ERREUR D'IDENTIFICATION DE V.D.RADIO,L'ÉCRAN MULTIMÉDIA NE S'ALLUME OU NE S'ÉTEINT PAS. VOIR KIMNR 1-RQND9D POUR LA VÉRIFICATION DE DIAGNOSTIC GUIDÉ R L'ÉCRAN DE LIAISON NE FONCTIONNE PAS. L'ÉCRAN NE DÉMARRE PAS MÊME LORSQU'IL EST ALLUMÉ MANUELLEMENT AUCUNE ERREUR D'IDENTIFICATION DE V.D.RADIO,radnav doesn't work
MULTIMEDIASYSTEEM START NIET OP I203,"UITL, DIAGN STELLEN MET TM5666, BEDRADING EN STEKKERS CONTROLE, RESET; AUTORADIO VERV/CONFIG",##,LE SYSTEME MULTIMEDIA NE DEMARRE PAS SUR I203,"QUITTER, DIAGNOSTIQUER AVEC TM5666, VÉRIFIER LES FILS ET LES CONNECTEURS, RÉINITIALISER ; AUTORADIO VERVCONFIG",##,"LE SYSTEME MULTIMEDIA NE DEMARRE PAS SUR I203. QUITTER, DIAGNOSTIQUER AVEC TM5666, VÉRIFIER LES FILS ET LES CONNECTEURS, RÉINITIALISER ; AUTORADIO VERVCONFIG. ##",radnav doesn't work
TELEPHONE SE DECONNECTE TOUS SEUL LORS D'UN APPEL,##,"ctrl clip, essai repro r link deja en derniere version, rein itialisation r link, essai avec tel client ok.",TELEPHONE SE DECONNECTE TOUS SEUL LORS D'UN APPEL,##,"ctrl clip, essai repro r link deja en derniere version, rein itialisation r link, essai avec tel client ok.","TELEPHONE SE DECONNECTE TOUS SEUL LORS D'UN APPEL. ##. ctrl clip, essai repro r link deja en derniere version, rein itialisation r link, essai avec tel client ok.",bluetooth
*G* BLUETOOTH NE RADI ISPRAVNO,##,REPRO R-LINKA,* G * LE BLUETOOTH NE FONCTIONNE PAS CORRECTEMENT,##,REPRO R-LINKA,* G * LE BLUETOOTH NE FONCTIONNE PAS CORRECTEMENT. ##. REPRO R-LINKA,bluetooth
BLOCAGE ECRAN SUITE MISE A JOUR PAR LE CLIENT,##,"REMPL TCU SUITE DEMANDE PAR MAIL ASSIST,RENAULT MULTIMEDIA ,COM +REMPLACEMENT RADIO 1-S09TEB",BLOCAGE ECRAN SUITE MISE A JOUR PAR LE CLIENT,##,"REMPL TCU SUITE DEMANDE PAR MAIL ASSIST,RENAULT MULTIMEDIA ,COM +REMPLACEMENT RADIO 1-S09TEB","BLOCAGE ECRAN SUITE MISE A JOUR PAR LE CLIENT. ##. REMPL TCU SUITE DEMANDE PAR MAIL ASSIST,RENAULT MULTIMEDIA ,COM +REMPLACEMENT RADIO 1-S09TEB",map update issue
LV SPEAKER GEEFT RAAR GELUID,##,"LV SPEAKER VERVANGEN, WERKT NU NORMAAL",LE HAUT-PARLEUR LV DONNE UN SON ÉTRANGE,##,LE HAUT-PARLEUR LV REMPLACÉ FONCTIONNE MAINTENANT NORMALEMENT,LE HAUT-PARLEUR LV DONNE UN SON ÉTRANGE. ##. LE HAUT-PARLEUR LV REMPLACÉ FONCTIONNE MAINTENANT NORMALEMENT,speaker issue
##,##,SUIVANT 1-RWBFAB,##,##,SUIVANT 1-RWBFAB,##. ##. SUIVANT 1-RWBFAB,display freeze
##,##,RADIO NE S ALLUME PLUS,##,##,RADIO NE S ALLUME PLUS,##. ##. RADIO NE S ALLUME PLUS,radnav doesn't work
SCHEPPERN HINTEN WENN MAN §BER BODENWELLEN F°HRT,SCHEPPERN KOMMT VON VERST°RKER,"VERST°RKER IN DER RADMULDE SCHEPPERT BEI BODENWELLEN        PROBEFAHRT MIT KUNDE DURCHGEF, VERST°RKER AUSGEBAUT UND DIE",RANGLING ARRIÈRE EN PASSANT SUR DES BOSSES,LE CLANGEMENT VIENT DE L'AMPLIFICATEUR,"L'AMPLIFICATEUR DANS LE LOGEMENT DE LA ROUE CLIQUE LORSQUE LE TEST DE ROULAGE EST EFFECTUÉ AVEC LE CLIENT, L'AMPLIFICATEUR EST RETIRÉ ET LE","RANGLING ARRIÈRE EN PASSANT SUR DES BOSSES. LE CLANGEMENT VIENT DE L'AMPLIFICATEUR. L'AMPLIFICATEUR DANS LE LOGEMENT DE LA ROUE CLIQUE LORSQUE LE TEST DE ROULAGE EST EFFECTUÉ AVEC LE CLIENT, L'AMPLIFICATEUR EST RETIRÉ ET LE",speaker issue
LA RECHERCHE GPS TOURNE SANS CESSE PAR MOMENT,Suite controle anomalie interne système,Suite controle anomalie interne système  Configuration afficheur radio navigation,LA RECHERCHE GPS TOURNE SANS CESSE PAR MOMENT,Suite controle anomalie interne système,Suite controle anomalie interne système  Configuration afficheur radio navigation,LA RECHERCHE GPS TOURNE SANS CESSE PAR MOMENT. Suite controle anomalie interne système. Suite controle anomalie interne système Configuration afficheur radio navigation,reception issue ( fm am dab gps)
VOLUME DE L AUTORADIO BAISSE TOUS SEUL,##,OPECODE 8264 POUR CTRL SOLUTION ACTIS ET PASSAGE VALISE ET ESSAI,VOLUME DE L AUTORADIO BAISSE TOUS SEUL,##,OPECODE 8264 POUR CTRL SOLUTION ACTIS ET PASSAGE VALISE ET ESSAI,VOLUME DE L AUTORADIO BAISSE TOUS SEUL. ##. OPECODE 8264 POUR CTRL SOLUTION ACTIS ET PASSAGE VALISE ET ESSAI,sound issue
PRISE USB HABITACLE SANS FONCTION DANS L ACCOUDOIR CENTRALE,DEFAUT DE CONTACT PRISE USB,"Bonjour ,  contr“le défaut calculateur et fonctionnement prise usb . Apres démontage prise pour",PRISE USB HABITACLE SANS FONCTION DANS L ACCOUDOIR CENTRALE,DEFAUT DE CONTACT PRISE USB,"Bonjour ,  contr“le défaut calculateur et fonctionnement prise usb . Apres démontage prise pour","PRISE USB HABITACLE SANS FONCTION DANS L ACCOUDOIR CENTRALE. DEFAUT DE CONTACT PRISE USB. Bonjour , contr“le défaut calculateur et fonctionnement prise usb . Apres démontage prise pour",mch issue
RLink noir,débrancher batterie + reprogrammation partielle,"Ecran noir, après clip, débranché rebranché batterie l'écran est revenu.Reprog partielle",RLink noir,débrancher batterie + reprogrammation partielle,"Ecran noir, après clip, débranché rebranché batterie l'écran est revenu.Reprog partielle","RLink noir. débrancher batterie + reprogrammation partielle. Ecran noir, après clip, débranché rebranché batterie l'écran est revenu.Reprog partielle",black screen
PAS DE RECONNAISSANCE VOCALE,MICROPHONE A REMPLACER,IL N Y A PLUS DE RECONNAISSANCE VOCALE - MICROPHONE A REMPLACER,PAS DE RECONNAISSANCE VOCALE,MICROPHONE A REMPLACER,IL N Y A PLUS DE RECONNAISSANCE VOCALE - MICROPHONE A REMPLACER,PAS DE RECONNAISSANCE VOCALE. MICROPHONE A REMPLACER. IL N Y A PLUS DE RECONNAISSANCE VOCALE - MICROPHONE A REMPLACER,microphone issue
MIS A JOUR RLINK ;  ; IMPOSSIBLE DE CONNECTER LE TELEPHONE AU BLUETOOTH,##,MAUVAISE CONFIGURATION AUTORADIO,MIS A JOUR RLINK ;  ; IMPOSSIBLE DE CONNECTER LE TELEPHONE AU BLUETOOTH,##,MAUVAISE CONFIGURATION AUTORADIO,MIS A JOUR RLINK ; ; IMPOSSIBLE DE CONNECTER LE TELEPHONE AU BLUETOOTH. ##. MAUVAISE CONFIGURATION AUTORADIO,bluetooth
COYOTE NE FONCTIONNE PAS,CONFIG AUTO VIA 1-RVUUNF - CALCULATEUR TELEMATIQUE,DIAG AUTONOME AVEC POUR RECHERCHE DE PANNE SUR SYSTEME C ONNECTE COYOTE ACTIVATION SYSTEME,COYOTE NE FONCTIONNE PAS,CONFIG AUTO VIA 1-RVUUNF - CALCULATEUR TELEMATIQUE,DIAG AUTONOME AVEC POUR RECHERCHE DE PANNE SUR SYSTEME C ONNECTE COYOTE ACTIVATION SYSTEME,COYOTE NE FONCTIONNE PAS. CONFIG AUTO VIA 1-RVUUNF - CALCULATEUR TELEMATIQUE. DIAG AUTONOME AVEC POUR RECHERCHE DE PANNE SUR SYSTEME C ONNECTE COYOTE ACTIVATION SYSTEME,connectivity issue
MICRO : NE FONCTIONNE PAS,CONFIG AUTO AUTORADIO,8224 COMPREND DIAG RESSENTI CLIENT + INITIALISATION RADIO + RESET BATTERIE => CONFIG AUTO,MICRO : NE FONCTIONNE PAS,CONFIG AUTO AUTORADIO,8224 COMPREND DIAG RESSENTI CLIENT + INITIALISATION RADIO + RESET BATTERIE => CONFIG AUTO,MICRO : NE FONCTIONNE PAS. CONFIG AUTO AUTORADIO. 8224 COMPREND DIAG RESSENTI CLIENT + INITIALISATION RADIO + RESET BATTERIE => CONFIG AUTO,microphone issue
ECRAN R-LINK S'ETEINT ET SE RALLUME ****GARANTIE****,CONFIG AUTO RADIO - SOLUTION 33381 + RESET SYSTEME,CONFIG AUTO RADIO - SOLUTION 33381,ECRAN R-LINK S'ETEINT ET SE RALLUME ****GARANTIE****,CONFIG AUTO RADIO - SOLUTION 33381 + RESET SYSTEME,CONFIG AUTO RADIO - SOLUTION 33381,ECRAN R-LINK S'ETEINT ET SE RALLUME ****GARANTIE****. CONFIG AUTO RADIO - SOLUTION 33381 + RESET SYSTEME. CONFIG AUTO RADIO - SOLUTION 33381,black screen
ECRAN GPS DEVIENT NOIR,REPROG RLINK - 1-SKXXW5,DIAG AVE EN AUTONOME - POUR REPROG RLINK  CODECAL JQ40EA,ECRAN GPS DEVIENT NOIR,REPROG RLINK - 1-SKXXW5,DIAG AVE EN AUTONOME - POUR REPROG RLINK  CODECAL JQ40EA,ECRAN GPS DEVIENT NOIR. REPROG RLINK - 1-SKXXW5. DIAG AVE EN AUTONOME - POUR REPROG RLINK CODECAL JQ40EA,black screen
##,##,PROBLEMES DE CONNEXION BLUETOOTH PAS DE DEFAUT / LOGICIEL A JOUR REMISE EN CONFIGURATION USINE,##,##,PROBLEMES DE CONNEXION BLUETOOTH PAS DE DEFAUT  LOGICIEL A JOUR REMISE EN CONFIGURATION USINE,##. ##. PROBLEMES DE CONNEXION BLUETOOTH PAS DE DEFAUT LOGICIEL A JOUR REMISE EN CONFIGURATION USINE,bluetooth
EN APPEL PAS DE SON RESTITIUE  / SE DECONNECTE TOUT SEUL /,application solution    11158,application solution  11158  EN APPEL PAS DE SON RESTITIUE  / SE DECONNECTE TOUT SEUL /,EN APPEL PAS DE SON RESTITIUE   SE DECONNECTE TOUT SEUL ,solution d'application 11158,application solution  11158  EN APPEL PAS DE SON RESTITIUE   SE DECONNECTE TOUT SEUL ,EN APPEL PAS DE SON RESTITIUE  SE DECONNECTE TOUT SEUL . solution d'application 11158. application solution 11158 EN APPEL PAS DE SON RESTITIUE  SE DECONNECTE TOUT SEUL ,bluetooth
STREAMING AUDIO NE FONCTIONNE PAS,"incompatibilité avec version logicielle téléphone, VH conforme","controle calculateurs solutions et versions, RAS, incompatib ilité avec version logicielle du telephone",STREAMING AUDIO NE FONCTIONNE PAS,"incompatibilité avec version logicielle téléphone, VH conforme","controle calculateurs solutions et versions, RAS, incompatib ilité avec version logicielle du telephone","STREAMING AUDIO NE FONCTIONNE PAS. incompatibilité avec version logicielle téléphone, VH conforme. controle calculateurs solutions et versions, RAS, incompatib ilité avec version logicielle du telephone",bluetooth
ECRAN NE S'ALLUME PAS TOUJOURS,##,"suite plainte client , pb ecran reste noir , apres controle mise a jour ok raz batterie + config auto radio + rz004 + re",ECRAN NE S'ALLUME PAS TOUJOURS,##,"suite plainte client , pb ecran reste noir , apres controle mise a jour ok raz batterie + config auto radio + rz004 + re","ECRAN NE S'ALLUME PAS TOUJOURS. ##. suite plainte client , pb ecran reste noir , apres controle mise a jour ok raz batterie + config auto radio + rz004 + re",black screen
PAS DE BLUETOOTH/VEHICULE SE FERME MOTEUR EN ROUTE,##,controle clip recherche solution actis reprog r link,PAS DE BLUETOOTHVEHICULE SE FERME MOTEUR EN ROUTE,##,controle clip recherche solution actis reprog r link,PAS DE BLUETOOTHVEHICULE SE FERME MOTEUR EN ROUTE. ##. controle clip recherche solution actis reprog r link,bluetooth
APPLE CAR PLAY SANS FONCTION,mise a jour rlink,maj,APPLE CAR PLAY SANS FONCTION,mise a jour rlink,Mai,APPLE CAR PLAY SANS FONCTION. mise a jour rlink. Mai,replication issue
AUTORADIO NON FONCTIONNEMENT,AFFICHEUR RADIONAV A CONFIGURER,"VEHICULE MAL PREPARE A LA LIVRAISON, NOUS AVONS DU LE METTRE EN SERVICE.",AUTORADIO NON FONCTIONNEMENT,AFFICHEUR RADIONAV A CONFIGURER,"VEHICULE MAL PREPARE A LA LIVRAISON, NOUS AVONS DU LE METTRE EN SERVICE.","AUTORADIO NON FONCTIONNEMENT. AFFICHEUR RADIONAV A CONFIGURER. VEHICULE MAL PREPARE A LA LIVRAISON, NOUS AVONS DU LE METTRE EN SERVICE.",aftersale issue
AUTORADIO NON FONCTIONNEMENT,AFFICHEUR AUTORADIO A PROGRAMMER,"VEHICULE MAL PREPARE A LA LIVRAISON, NOUS AVONS DU LE METTRE EN SERVICE.",AUTORADIO NON FONCTIONNEMENT,AFFICHEUR AUTORADIO A PROGRAMMER,"VEHICULE MAL PREPARE A LA LIVRAISON, NOUS AVONS DU LE METTRE EN SERVICE.","AUTORADIO NON FONCTIONNEMENT. AFFICHEUR AUTORADIO A PROGRAMMER. VEHICULE MAL PREPARE A LA LIVRAISON, NOUS AVONS DU LE METTRE EN SERVICE.",aftersale issue
AUTORADIO NON FONCTIONNEMENT,AFFICHEUR RADIONAV A CONFIGURER,VEHICULE PAS FINI DE PREPARE A L'USINE.,AUTORADIO NON FONCTIONNEMENT,AFFICHEUR RADIONAV A CONFIGURER,VEHICULE PAS FINI DE PREPARE A L'USINE.,AUTORADIO NON FONCTIONNEMENT. AFFICHEUR RADIONAV A CONFIGURER. VEHICULE PAS FINI DE PREPARE A L'USINE.,aftersale issue
MISE A JOUR GPS (MAUVAISE DATE) 4 ANS EN MOINS,mise a jours systeme r link,mise a jour r link,MISE A JOUR GPS (MAUVAISE DATE) 4 ANS EN MOINS,mise a jours systeme r link,mise a jour r link,MISE A JOUR GPS (MAUVAISE DATE) 4 ANS EN MOINS. mise a jours systeme r link. mise a jour r link,map update issue
ETEINT LA VOITURE SUR UNE STATION DE RADIO ET LORS DE LA REPRISE  RADIO DIFFEREN,##,Station RTL ne reste pas programmée apres coupure contact,ETEINT LA VOITURE SUR UNE STATION DE RADIO ET LORS DE LA REPRISE  RADIO DIFFEREN,##,Station RTL ne reste pas programmée apres coupure contact,ETEINT LA VOITURE SUR UNE STATION DE RADIO ET LORS DE LA REPRISE RADIO DIFFEREN. ##. Station RTL ne reste pas programmée apres coupure contact,radio issue
##,##,LES APPLICATIONS R LINK NE FONCTONNENT PAS OU PAS COMPLETEMENT.AVONS PROCEDE A UN REPROG PARTIELLE SANS,##,##,LES APPLICATIONS R LINK NE FONCTONNENT PAS OU PAS COMPLETEMENT.AVONS PROCEDE A UN REPROG PARTIELLE SANS,##. ##. LES APPLICATIONS R LINK NE FONCTONNENT PAS OU PAS COMPLETEMENT.AVONS PROCEDE A UN REPROG PARTIELLE SANS,connectivity issue
##,DIAGNOSE VIA KIM 1-S6QC0K,BKOKKERING AUTO IN WERKPLAATS IN OPDRACHT VIA KIM,##,DIAGNOSTIC PAR KIM 1-S6QC0K,BKOKKERING VOITURE EN ATELIER SUR COMMANDE VIA KIM,##. DIAGNOSTIC PAR KIM 1-S6QC0K. BKOKKERING VOITURE EN ATELIER SUR COMMANDE VIA KIM,connectivity issue
ECRAN R LINKK NOIR,def interne radio,reprogrammation de la radio,ECRAN R LINKK NOIR,def radio interne,reprogrammation de la radio,ECRAN R LINKK NOIR. def radio interne. reprogrammation de la radio,black screen
##,##,"Lautsprecher vorne links in Tre chrosen, Lautsprecher ersetzen.",##,##,"Haut-parleur avant gauche en Trechrose, remplacer haut-parleur.","##. ##. Haut-parleur avant gauche en Trechrose, remplacer haut-parleur.",speaker issue
